Date,DATA_USD,USD_EUR
09/04/2026,0.00100,0.858
08/04/2026,0.00101,0.860
03/04/2026,0.00100,0.867
02/04/2026,0.00098,0.866
01/04/2026,0.00100,0.863
31/03/2026,0.00100,0.869
30/03/2026,0.00099,0.872
28/03/2026,0.00102,0.866
27/03/2026,0.00105,0.868
26/03/2026,0.00110,0.866
25/03/2026,0.00103,0.863
24/03/2026,0.00091,0.863
23/03/2026,0.00110,0.864
22/03/2026,0.00113,0.864
21/03/2026,0.00113,0.864
20/03/2026,0.00113,0.865
19/03/2026,0.00113,0.869
18/03/2026,0.00116,0.868
17/03/2026,0.00119,0.868
16/03/2026,0.00117,0.873
15/03/2026,0.00115,0.873
14/03/2026,0.00116,0.872
13/03/2026,0.00117,0.872
12/03/2026,0.00118,0.867
11/03/2026,0.00116,0.862
10/03/2026,0.00117,0.860
09/03/2026,0.00114,0.865
08/03/2026,0.00111,0.864
07/03/2026,0.00119,0.861
06/03/2026,0.00115,0.862
05/03/2026,0.00110,0.862
04/03/2026,0.00106,0.863
02/03/2026,0.00104,0.855
01/03/2026,0.00103,0.847
28/02/2026,0.00102,0.845
27/02/2026,0.00101,0.846
26/02/2026,0.00104,0.848
25/02/2026,0.00105,0.848
24/02/2026,0.00104,0.849
23/02/2026,0.00104,0.847
22/02/2026,0.00107,0.849
21/02/2026,0.00108,0.849
20/02/2026,0.00125,0.850
19/02/2026,0.00100,0.849
18/02/2026,0.00092,0.846
17/02/2026,0.00093,0.845
16/02/2026,0.00089,0.807
15/02/2026,0.00089,0.807
14/02/2026,0.00093,0.842
13/02/2026,0.00093,0.843
12/02/2026,0.00117,0.842
11/02/2026,0.00159,0.841
10/02/2026,0.00211,0.840
09/02/2026,0.00184,0.842
08/02/2026,0.00173,0.846
07/02/2026,0.00188,0.846
06/02/2026,0.00208,0.847
05/02/2026,0.00237,0.848
04/02/2026,0.00263,0.846
03/02/2026,0.00274,0.847
02/02/2026,0.00302,0.845
01/02/2026,0.00352,0.844
31/01/2026,0.00364,0.844
30/01/2026,0.00370,0.840
29/01/2026,0.00373,0.836
28/01/2026,0.00378,0.834
27/01/2026,0.00391,0.837
26/01/2026,0.00395,0.842
25/01/2026,0.00390,0.843
24/01/2026,0.00394,0.845
23/01/2026,0.00391,0.846
22/01/2026,0.00401,0.855
21/01/2026,0.00393,0.835
20/01/2026,0.00401,0.854
19/01/2026,0.00418,0.860
18/01/2026,0.00477,0.862
17/01/2026,0.00491,0.862
16/01/2026,0.00482,0.861
15/01/2026,0.00491,0.861
14/01/2026,0.00525,0.859
13/01/2026,0.00519,0.858
12/01/2026,0.00511,0.857
11/01/2026,0.00522,0.859
10/01/2026,0.00524,0.859
09/01/2026,0.00515,0.859
08/01/2026,0.00517,0.856
07/01/2026,0.00532,0.856
06/01/2026,0.00522,0.854
05/01/2026,0.00512,0.855
04/01/2026,0.00498,0.853
03/01/2026,0.00509,0.853
02/01/2026,0.00516,0.852
01/01/2026,0.00596,0.852
31/12/2025,0.00568,0.852
30/12/2025,0.00571,0.850
29/12/2025,0.00585,0.850
28/12/2025,0.00590,0.849
27/12/2025,0.00585,0.849
26/12/2025,0.00578,0.849
25/12/2025,0.00568,0.849
24/12/2025,0.00551,0.848
23/12/2025,0.00546,0.849
22/12/2025,0.00556,0.852
21/12/2025,0.00549,0.853
20/12/2025,0.00561,0.854
19/12/2025,0.00536,0.854
18/12/2025,0.00539,0.852
17/12/2025,0.00553,0.852
16/12/2025,0.00571,0.851
15/12/2025,0.00594,0.851
14/12/2025,0.00625,0.853
13/12/2025,0.00647,0.852
12/12/2025,0.00645,0.852
11/12/2025,0.00640,0.853
10/12/2025,0.00682,0.859
09/12/2025,0.00684,0.859
08/12/2025,0.00677,0.859
07/12/2025,0.00679,0.859
06/12/2025,0.00674,0.859
05/12/2025,0.00671,0.859
04/12/2025,0.00695,0.858
03/12/2025,0.00696,0.859
02/12/2025,0.00676,0.861
01/12/2025,0.00657,0.861
30/11/2025,0.00705,0.862
29/11/2025,0.00754,0.862
28/11/2025,0.00743,0.863
27/11/2025,0.00739,0.862
26/11/2025,0.00717,0.863
25/11/2025,0.00703,0.866
24/11/2025,0.00710,0.868
23/11/2025,0.00690,0.868
22/11/2025,0.00668,0.868
21/11/2025,0.00671,0.868
20/11/2025,0.00724,0.868
19/11/2025,0.00672,0.865
18/11/2025,0.00677,0.863
17/11/2025,0.00686,0.862
16/11/2025,0.00698,0.860
15/11/2025,0.00709,0.860
14/11/2025,0.00707,0.860
13/11/2025,0.00743,0.861
12/11/2025,0.00763,0.864
11/11/2025,0.00788,0.864
10/11/2025,0.00789,0.865
09/11/2025,0.00756,0.865
08/11/2025,0.00787,0.864
07/11/2025,0.00739,0.865
06/11/2025,0.00691,0.868
05/11/2025,0.00688,0.871
04/11/2025,0.00688,0.869
03/11/2025,0.00704,0.868
02/11/2025,0.00760,0.864
01/11/2025,0.00758,0.863
31/10/2025,0.00750,0.865
30/10/2025,0.00776,0.863
29/10/2025,0.00819,0.860
28/10/2025,0.00839,0.858
27/10/2025,0.00871,0.859
26/10/2025,0.00863,0.861
25/10/2025,0.00849,0.860
24/10/2025,0.00841,0.861
23/10/2025,0.00829,0.862
22/10/2025,0.00831,0.862
21/10/2025,0.00858,0.861
20/10/2025,0.00895,0.858
19/10/2025,0.00896,0.858
18/10/2025,0.00891,0.858
17/10/2025,0.00893,0.856
16/10/2025,0.01020,0.858
15/10/2025,0.01041,0.860
14/10/2025,0.01096,0.864
13/10/2025,0.01086,0.863
12/10/2025,0.01011,0.861
11/10/2025,0.01002,0.861
10/10/2025,0.01295,0.863
09/10/2025,0.01343,0.862
08/10/2025,0.01352,0.860
07/10/2025,0.01397,0.856
06/10/2025,0.01429,0.855
05/10/2025,0.01429,0.852
04/10/2025,0.01423,0.852
03/10/2025,0.01433,0.852
02/10/2025,0.01419,0.852
01/10/2025,0.01355,0.852
30/09/2025,0.01332,0.852
29/09/2025,0.01364,0.853
28/09/2025,0.01317,0.855
27/09/2025,0.01333,0.854
26/09/2025,0.01303,0.856
25/09/2025,0.01349,0.853
24/09/2025,0.01384,0.850
23/09/2025,0.01378,0.847
22/09/2025,0.01409,0.850
21/09/2025,0.01539,0.851
20/09/2025,0.01546,0.851
19/09/2025,0.01573,0.850
18/09/2025,0.01604,0.847
17/09/2025,0.01553,0.844
16/09/2025,0.01531,0.848
15/09/2025,0.01538,0.851
14/09/2025,0.01619,0.853
13/09/2025,0.01649,0.852
12/09/2025,0.01609,0.853
11/09/2025,0.01603,0.854
10/09/2025,0.01597,0.854
09/09/2025,0.01587,0.852
08/09/2025,0.01566,0.852
07/09/2025,0.01528,0.853
06/09/2025,0.01528,0.853
05/09/2025,0.01543,0.855
04/09/2025,0.01547,0.858
03/09/2025,0.01575,0.858
02/09/2025,0.01553,0.857
01/09/2025,0.01574,0.854
31/08/2025,0.01658,0.857
30/08/2025,0.01656,0.856
29/08/2025,0.01677,0.856
28/08/2025,0.01700,0.858
27/08/2025,0.01704,0.861
26/08/2025,0.01657,0.859
25/08/2025,0.01653,0.856
24/08/2025,0.01696,0.854
23/08/2025,0.01704,0.853
22/08/2025,0.01615,0.859
21/08/2025,0.01560,0.860
20/08/2025,0.01543,0.859
19/08/2025,0.01620,0.857
18/08/2025,0.01601,0.856
17/08/2025,0.01684,0.855
16/08/2025,0.01641,0.854
15/08/2025,0.01625,0.856
14/08/2025,0.01711,0.856
13/08/2025,0.01749,0.855
12/08/2025,0.01668,0.859
11/08/2025,0.01691,0.860
10/08/2025,0.01722,0.858
09/08/2025,0.01715,0.859
08/08/2025,0.01647,0.858
07/08/2025,0.01590,0.858
06/08/2025,0.01531,0.861
05/08/2025,0.01536,0.865
04/08/2025,0.01529,0.864
03/08/2025,0.01472,0.863
02/08/2025,0.01460,0.863
01/08/2025,0.01523,0.867
31/07/2025,0.01639,0.875
30/07/2025,0.01621,0.867
29/07/2025,0.01668,0.865
28/07/2025,0.01777,0.857
27/07/2025,0.01748,0.851
26/07/2025,0.01730,0.851
25/07/2025,0.01682,0.852
24/07/2025,0.01721,0.850
23/07/2025,0.01838,0.851
22/07/2025,0.01916,0.854
21/07/2025,0.01999,0.858
20/07/2025,0.01936,0.860
19/07/2025,0.01865,0.860
18/07/2025,0.01915,0.860
17/07/2025,0.01794,0.862
16/07/2025,0.01762,0.861
15/07/2025,0.01682,0.858
14/07/2025,0.01728,0.856
13/07/2025,0.01722,0.856
12/07/2025,0.01700,0.856
11/07/2025,0.01726,0.856
10/07/2025,0.01584,0.854
09/07/2025,0.01514,0.854
08/07/2025,0.01473,0.853
07/07/2025,0.01484,0.852
06/07/2025,0.01456,0.849
05/07/2025,0.01460,0.849
04/07/2025,0.01499,0.849
03/07/2025,0.01516,0.849
02/07/2025,0.01461,0.848
01/07/2025,0.01522,0.848
30/06/2025,0.01557,0.852
29/06/2025,0.01555,0.853
28/06/2025,0.01563,0.853
27/06/2025,0.01559,0.854
26/06/2025,0.01692,0.855
25/06/2025,0.01525,0.860
24/06/2025,0.01529,0.862
23/06/2025,0.01641,0.868
22/06/2025,0.01465,0.868
21/06/2025,0.01278,0.868
20/06/2025,0.01271,0.868
19/06/2025,0.01228,0.871
18/06/2025,0.01223,0.870
17/06/2025,0.01258,0.867
16/06/2025,0.01314,0.865
15/06/2025,0.01280,0.866
14/06/2025,0.01246,0.866
13/06/2025,0.01260,0.867
12/06/2025,0.01368,0.865
11/06/2025,0.01464,0.873
10/06/2025,0.01437,0.876
09/06/2025,0.01392,0.875
07/06/2025,0.01327,0.877
06/06/2025,0.01345,0.876
05/06/2025,0.01402,0.875
04/06/2025,0.01469,0.878
03/06/2025,0.01468,0.877
02/06/2025,0.01409,0.877
01/06/2025,0.01358,0.881
31/05/2025,0.01357,0.883
30/05/2025,0.01474,0.881
29/05/2025,0.01569,0.884
28/05/2025,0.01598,0.884
